id_in_round,period,iid,Tr_match,duration,ori_time,IP,round1_q1,round1_q2,round1_q3,round1_q4,round1_q5,round1_q6,round2_q1,round2_q2,round2_q3,round2_q4,round2_q5,round2_q6,info_aware,round3_q1,round3_q2,round3_q3,round3_q4,round3_q5,round3_q6,bulbs,cost_aware,weight_price,weight_life,weight_cost,weight_warmth,weight_hg1,weight_hg2,cost_attention,six_1,six_2,six_3,six_4,six_5,six_6,six_7,six_8,six_9,six_10,six_11,six_12,six_13,six_14,six_15,six_16,six_17,six_18,six_19,six_20,six_21,six_22,six_23,six_24,six_25,six_26,six_27,six_28,six_29,six_30,six_31,risk,income,age,gender,occupation,marriage,kids,degree,Tr,post_dummy,eng_prov,eng_town,follow_dummy,fresh_dummy,receive_type,in_use,recommend,high.WTP,price_aware,act_purchase,relation,act_label,act_Eemode,act_TVoff,act_lightoff,act_EEcar,factor_6_ordered,X,switch_1,switch_2,switch_3,info_Tr,belief.in.CC,men.resp.CC,impacts.CC,urgency.CC,civil.CC,habits.CC,purchase.CC,taxes.CC,coop.CC,standards.CC,test.1,test.2,test.3,self.1,self.2,self.3,belief.in.CC.1,men.resp.CC.1,impacts.CC.1,urgency.CC.1,civil.CC.1,habits.CC.1,purchase.CC.1,taxes.CC.1,coop.CC.1,standards.CC.1,pm_0,pm_0_max,pm_daylight,pm_hour,pm_365mean
1,3,1,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,chongqing,yubei,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,2,W2R1,447,2007/5/17 10:04,140.206.118.134,1,2,-3,-3,1,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,shanghai,fengxian,1,NA,-3,-3,10,NA,NA,1,3,2,2,2,2,2,NA,NA,22,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.20833333,43,35.3,42,39.09936216
3,3,3,W2R1,5910,2007/4/17 20:24,120.40.97.237,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,fujian,fuzhou,1,NA,1,1,11,NA,NA,1,11,1,1,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.58333333,26,23.3,17,25.22736906
4,3,4,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,guangdong,guangzhou,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,5,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,jiangsu,nanjing,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,6,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,hubei,wuhan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,7,W2R1,374,2007/4/17 22:20,106.39.38.226,1,1,-3,2,-3,-3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,1,2,1,2,4,3,3,2,2,2,2,2,4,2,2,3,3,2,1,3,2,1,2,2,1,2,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,beijing,changping,1,NA,1,1,11,NA,NA,1,10,1,2,1,1,2,NA,NA,26,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.125,59,49.9,58,72.83307039
8,3,8,W2R1,1706,2007/5/17 0:27,111.19.44.114,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,shaanxi,xian,1,NA,2,2,11,NA,NA,2,-3,1,1,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.91666667,74,55,43,81.41906754
9,3,9,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,sichuan,chengdu,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,10,W2R1,458,2007/4/17 18:47,123.115.235.174,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,4,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,4,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,beijing,chaoyang,1,NA,2,1,7,NA,NA,2,-3,1,2,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.125,59,49.9,46,72.83307039
