"","iid","tr","ID_tr.x","begin.x","end.x","duration.x","belief_cost.x","kwh_led.x","kwh_cfl.x","yuan.x","belief_carbon.x","relative_1.x","relative_2.x","q1.x","q2.x","q3.x","q4.x","q5.x","q6.x","q7.x","q8.x","q9.x","q10.x","q11.x","q12.x","q13.x","q14.x","q15.x","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income.x","home.x","own_bulb.x","w_price.x","w_life.x","w_energy.x","w_carbon.x","w_light.x","w_hg.x","cc_belief.x","cc_support_1.x","cc_support_2.x","cc_support_3.x","cc_support_4.x","cc_support_5.x","cc_support_6.x","cc_action_1.x","cc_action_2.x","cc_action_3.x","cc_action_4.x","ideal.x","purpose.x","purpose_other.x","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2","ID_tr.y","begin.y","end.y","duration.y","地理位置国家和地区","地理位置省","地理位置市","belief_cost.y","kwh_led.y","kwh_cfl.y","yuan.y","belief_carbon.y","relative_1.y","relative_2.y","q1.y","q2.y","q3.y","q4.y","q5.y","q6.y","q7.y","q8.y","q9.y","q10.y","q11.y","q12.y","q13.y","q14.y","q15.y","income.y","home.y","own_bulb.y","w_price.y","w_life.y","w_energy.y","w_carbon.y","w_light.y","w_hg.y","cc_belief.y","cc_support_1.y","cc_support_2.y","cc_support_3.y","cc_support_4.y","cc_support_5.y","cc_support_6.y","cc_action_1.y","cc_action_2.y","cc_action_3.y","cc_action_4.y","ideal.y","purpose.y","purpose_other.y","switch_1_new"
"2","o34xe0__mm4zsg8JtrcX36cF6rl4","C",292,"2021/1/7 17:26","2021/1/7 18:01",2100,2,5,12,100,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,"",1,2,3,2,2,1,"中国","河北省","石家庄市","B.女",37,"D.大学本科",62,62,882,"2021/2/5 17:30","2021/2/5 17:35",254,"中国","河北省","石家庄市",2,20,60,100,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,"",62
"3","o34xe0_--UxD49PvGVZK7JN62XtA","E",442,"2021/1/7 23:06","2021/1/7 23:21",896,1,200,180,100,2,NA,1,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,1,3,1,1,1,1,1,2,1,2,1,1,2,3,1,1,1,2,4,8,"",2,3,2,2,1,1,"中国","河北省","唐山市","B.女",36,"D.大学本科",50,62,1471,"2021/2/5 19:20","2021/2/5 19:29",520,"中国","河北省","唐山市",2,32,42,11,1,1,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,80000,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,6,"",54
"4","o34xe0_-nh4R0dvj9z01cgD5I3WI","M",335,"2021/1/7 18:28","2021/1/7 18:35",409,2,500,800,900,2,NA,8,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,3,1,3,5,5,"",1,2,1,1,2,1,"中国","浙江省","杭州市","A.男",27,"D.大学本科",50,62,454,"2021/2/5 17:11","2021/2/5 17:17",318,"中国","浙江省","杭州市",1,80,70,20,1,9,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15,1,1,3,2,3,3,2,1,2,2,2,2,2,3,2,1,3,1,3,5,9,"",34
"5","o34xe0_0pnlqBmaaCDodFgXmPvvI","E",210,"2021/1/7 17:33","2021/1/7 17:37",232,2,15,20,20,2,NA,7,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,5,5,"",1,1,2,1,2,3,"中国","山东省","青岛市","A.男",28,"D.大学本科",46,54,998,"2021/2/5 17:38","2021/2/5 17:42",258,"中国","山东省","青岛市",2,40,80,80,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,5,5,"",62
"6","o34xe0_2aJW_Zx2kwL4L9YlTpqS8","E",51,"2021/1/7 17:17","2021/1/7 17:22",323,1,100,100,10,1,6,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"",1,1,1,1,1,1,"中国","山东省","","B.女",30,"D.大学本科",34,2,810,"2021/2/5 17:23","2021/2/5 17:30",393,"中国","山东省","",2,190,200,600,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,"",2
"8","o34xe0_2T1xDEpjQu79C76LjIUJQ","M",91,"2021/1/7 17:19","2021/1/7 17:24",325,2,24,30,100,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,1,1,1,1,2,3,3,3,1,3,2,2,2,2,2,2,3,1,4,4,3,"",2,2,2,3,3,3,"中国","浙江省","舟山市","A.男",27,"D.大学本科",38,38,525,"2021/2/5 17:16","2021/2/5 17:18",112,"中国","浙江省","",2,100,150,500,2,NA,5,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,4,4,5,"",50
"9","o34xe0_2ZzI_2x4k0AC3OJMQI_zs","E",337,"2021/1/7 18:21","2021/1/7 18:24",184,1,0,0,0,1,8,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,3,1,1,3,2,1,1,1,3,3,1,4,4,1,2,2,2,4,8,"",2,3,1,2,2,1,"中国","上海市","上海市","A.男",28,"D.大学本科",62,62,1704,"2021/2/5 23:37","2021/2/5 23:39",108,"中国","上海市","上海市",2,1,1,1,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2e+05,1,1,2,1,1,1,1,1,2,1,3,3,1,3,3,1,1,2,1,4,1,"",62
"10","o34xe0_3C4iJUQpqNZ6tyxLX99GE","C",390,"2021/1/7 19:32","2021/1/7 19:34",112,2,30,20,20,1,4,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20,1,2,2,1,2,1,1,2,1,1,3,2,2,3,2,1,2,1,2,2,3,"",1,2,2,1,2,1,"中国","福建省","","B.女",58,"C.大学专科",26,54,1706,"2021/2/5 23:39","2021/2/5 23:40",57,"中国","福建省","",2,38,58,55,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,65,2,3,1,2,1,2,2,1,2,1,2,1,2,3,2,1,3,3,3,2,2,"",6
"11","o34xe0_3wn-NOlAN-KHi0zpU8kvw","E",233,"2021/1/7 17:27","2021/1/7 17:42",913,3,100,100,1,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,1,1,1,1,1,1,2,2,2,3,2,2,3,2,2,1,2,3,10,"",2,2,2,1,1,1,"中国","河北省","沧州市","A.男",55,"A.初中及以下",6,30,654,"2021/2/5 17:09","2021/2/5 17:23",828,"中国","河北省","唐山市",2,90,90,0,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,1,1,3,2,3,2,2,2,2,2,4,4,2,1,1,3,4,3,"",30
"12","o34xe0_4c5hbEQpEa6ZZDwPBf_dU","M",460,"2021/1/8 16:32","2021/1/8 16:52",1165,2,60,80,20,2,NA,6,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,3,1,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,3,4,1,"",2,3,2,2,2,2,"中国","上海市","上海市","A.男",32,"D.大学本科",62,62,1549,"2021/2/5 20:13","2021/2/5 20:18",275,"中国","上海市","上海市",3,87.6,80,2,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,9,"",14
