"","iid","tr","ID_tr","begin","end","duration","belief_cost","kwh_led","kwh_cfl","yuan","belief_carbon","relative_1","relative_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income","home","own_bulb","w_price","w_life","w_energy","w_carbon","w_light","w_hg","cc_belief","cc_support_1","cc_support_2","cc_support_3","cc_support_4","cc_support_5","cc_support_6","cc_action_1","cc_action_2","cc_action_3","cc_action_4","ideal","purpose","purpose_other","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2"
"2","o34xe0__mm4zsg8JtrcX36cF6rl4","C",292,"2021/1/7 17:26","2021/1/7 18:01",2100,2,5,12,100,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,"",1,2,3,2,2,1,"中国","河北省","石家庄市","B.女",37,"D.大学本科",62,62
"4","o34xe0_--UxD49PvGVZK7JN62XtA","E",442,"2021/1/7 23:06","2021/1/7 23:21",896,1,200,180,100,2,NA,1,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,1,3,1,1,1,1,1,2,1,2,1,1,2,3,1,1,1,2,4,8,"",2,3,2,2,1,1,"中国","河北省","唐山市","B.女",36,"D.大学本科",50,62
"5","o34xe0_-nh4R0dvj9z01cgD5I3WI","M",335,"2021/1/7 18:28","2021/1/7 18:35",409,2,500,800,900,2,NA,8,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,3,1,3,5,5,"",1,2,1,1,2,1,"中国","浙江省","杭州市","A.男",27,"D.大学本科",50,62
"6","o34xe0_05KTiTaK0wzb1MYXfzMJE","E",211,"2021/1/7 17:18","2021/1/7 17:37",1125,2,300,220,100,2,NA,7,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,1,1,2,1,1,2,2,2,2,2,3,3,1,1,2,2,5,9,"",2,3,2,2,2,2,"中国","河北省","","A.男",36,"B.高中/中专/技校",58,62
"7","o34xe0_0pnlqBmaaCDodFgXmPvvI","E",210,"2021/1/7 17:33","2021/1/7 17:37",232,2,15,20,20,2,NA,7,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,5,5,"",1,1,2,1,2,3,"中国","山东省","青岛市","A.男",28,"D.大学本科",46,54
"8","o34xe0_2aJW_Zx2kwL4L9YlTpqS8","E",51,"2021/1/7 17:17","2021/1/7 17:22",323,1,100,100,10,1,6,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"",1,1,1,1,1,1,"中国","山东省","","B.女",30,"D.大学本科",34,2
"10","o34xe0_2T1xDEpjQu79C76LjIUJQ","M",91,"2021/1/7 17:19","2021/1/7 17:24",325,2,24,30,100,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,1,1,1,1,2,3,3,3,1,3,2,2,2,2,2,2,3,1,4,4,3,"",2,2,2,3,3,3,"中国","浙江省","舟山市","A.男",27,"D.大学本科",38,38
"11","o34xe0_2ZzI_2x4k0AC3OJMQI_zs","E",337,"2021/1/7 18:21","2021/1/7 18:24",184,1,0,0,0,1,8,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,3,1,1,3,2,1,1,1,3,3,1,4,4,1,2,2,2,4,8,"",2,3,1,2,2,1,"中国","上海市","上海市","A.男",28,"D.大学本科",62,62
"12","o34xe0_3C4iJUQpqNZ6tyxLX99GE","C",390,"2021/1/7 19:32","2021/1/7 19:34",112,2,30,20,20,1,4,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20,1,2,2,1,2,1,1,2,1,1,3,2,2,3,2,1,2,1,2,2,3,"",1,2,2,1,2,1,"中国","福建省","","B.女",58,"C.大学专科",26,54
"13","o34xe0_3wn-NOlAN-KHi0zpU8kvw","E",233,"2021/1/7 17:27","2021/1/7 17:42",913,3,100,100,1,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,1,1,1,1,1,1,2,2,2,3,2,2,3,2,2,1,2,3,10,"",2,2,2,1,1,1,"中国","河北省","沧州市","A.男",55,"A.初中及以下",6,30
